timestep,n_Presenting,n_InGeneralWard,n_InICU,n_OnVentInICU,n_TERMINAL,n_admitted_Presenting,n_admitted_InGeneralWard,n_admitted_InICU,n_admitted_OnVentInICU,n_discharged_Presenting,n_discharged_InGeneralWard,n_discharged_InICU,n_discharged_OnVentInICU
0.00,5.00,45.00,20.00,10.00,0.00,5.00,45.00,20.00,10.00,0.00,0.00,0.00,0.00
1.00,2.00,49.00,28.00,10.00,0.00,2.00,5.00,8.00,0.00,3.00,0.00,0.00,2.00
2.00,3.00,50.00,31.00,10.00,0.00,3.00,2.00,4.00,0.00,2.00,0.00,2.00,0.00
3.00,4.00,47.00,42.00,10.00,0.00,4.00,3.00,15.00,0.00,3.00,0.00,1.00,2.00
4.00,4.00,45.00,43.00,14.00,3.00,4.00,4.00,6.00,6.00,3.00,11.00,4.00,4.00
5.00,5.00,47.00,46.00,13.00,4.02,5.00,4.00,6.00,2.00,3.00,2.00,2.00,1.00
6.00,6.00,34.00,51.00,15.00,4.00,6.00,5.00,13.00,7.00,3.00,19.00,4.00,2.00
7.00,7.00,37.00,54.00,17.00,3.00,7.00,6.00,8.00,5.00,4.00,4.00,3.00,2.00
8.00,8.00,34.00,57.00,18.00,3.00,8.00,7.00,9.00,6.02,4.00,12.00,4.00,3.00
9.00,8.00,37.02,60.00,20.00,2.00,8.00,8.00,9.00,6.00,5.00,4.00,5.00,2.00
10.00,8.00,32.00,61.00,21.00,4.00,8.00,8.00,10.00,8.00,5.00,14.00,5.00,4.00
11.00,8.00,35.00,64.00,23.00,4.00,8.00,8.00,10.00,6.00,5.00,5.00,5.02,2.00
12.00,8.00,38.00,65.00,25.00,4.00,8.00,8.00,10.00,8.00,5.00,5.00,5.00,3.00
13.00,8.00,39.00,68.00,27.00,4.00,8.00,8.00,10.00,7.00,4.00,6.00,5.00,3.00
14.00,8.00,40.00,68.00,29.00,5.00,8.00,8.00,11.00,9.00,5.00,7.00,6.00,4.00
15.00,8.00,41.00,70.00,31.00,5.00,8.00,8.00,10.02,8.00,5.00,7.02,5.00,3.00
16.00,8.00,42.00,70.00,33.00,5.00,8.00,8.00,10.00,11.00,5.00,8.00,5.00,4.00
17.00,8.00,42.00,71.00,35.00,6.00,8.00,8.00,11.00,9.00,4.00,8.00,5.00,4.00
18.00,8.00,42.00,72.00,35.00,6.00,8.00,8.00,11.00,9.00,5.00,8.00,5.00,4.00
19.00,8.00,42.00,73.00,36.00,6.00,8.00,8.00,11.00,10.00,5.00,8.00,6.00,4.00
20.00,8.00,42.00,73.00,37.02,7.00,8.00,8.00,11.00,10.00,4.00,8.00,5.02,5.00
21.00,0.00,42.00,67.00,38.00,7.00,0.00,8.00,4.00,9.00,4.00,8.00,6.00,4.00
22.00,0.00,36.00,62.00,38.00,7.00,0.00,0.00,4.00,10.00,0.00,8.00,6.00,4.02
23.00,0.00,30.00,56.00,39.00,7.00,0.00,0.00,4.00,10.00,0.00,9.00,5.00,5.00
24.00,0.00,23.00,49.00,39.00,7.00,0.00,0.00,4.00,10.00,0.00,8.00,5.00,5.00
25.00,0.00,18.00,43.00,38.00,7.00,0.00,0.00,2.00,9.00,0.00,8.00,5.00,5.00
26.00,0.00,14.00,37.00,38.00,7.00,0.00,0.00,2.00,9.00,0.00,7.00,4.00,5.00
27.00,0.00,9.00,32.00,37.00,7.02,0.00,0.00,2.00,8.00,0.00,7.00,4.00,4.00
28.00,0.00,7.00,26.00,35.00,7.00,0.00,0.00,0.00,8.00,0.00,4.00,4.00,5.00
29.00,0.00,4.00,21.00,33.00,7.00,0.00,0.00,0.00,6.00,0.00,4.00,3.00,5.00
30.00,0.00,3.00,17.00,30.00,7.00,0.00,0.00,0.00,6.00,0.00,3.00,3.00,4.00
31.00,0.00,0.00,14.00,27.00,7.00,0.00,0.00,0.00,5.00,0.00,3.00,2.00,4.00
32.00,0.00,0.00,11.00,25.00,7.00,0.00,0.00,0.00,5.00,0.00,0.00,2.00,4.00
33.00,0.00,0.00,9.00,22.00,6.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,4.00
34.00,0.00,0.00,7.00,19.00,6.00,0.00,0.00,0.00,4.00,0.00,0.00,1.00,4.00
35.00,0.00,0.00,5.00,17.00,5.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,3.00
36.00,0.00,0.00,3.00,14.00,5.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,3.00
37.00,0.00,0.00,3.00,12.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,3.00
38.00,0.00,0.00,2.00,10.00,4.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
39.00,0.00,0.00,1.00,8.02,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
40.00,0.00,0.00,1.00,7.00,3.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,2.00
